name	state	popestimate2020	popestimate2021	npopchg2020	npopchg2021	age_median	income_median	rooms_median	value_median	rent_median	housing_total
Baldwin County	Alabama	233140	239294	1373	6154	43.2	61756	5.8	211600	1032	116747
Calhoun County	Alabama	116266	115972	-175	-294	39.5	50128	5.8	121600	720	53722
Etowah County	Alabama	103393	103162	-43	-231	41.3	44934	5.8	124400	676	47805
Houston County	Alabama	107190	107458	-12	268	40.2	49069	5.7	141800	769	47798
Jefferson County	Alabama	673341	667820	-1380	-5521	37.9	55088	5.8	165000	934	308825
Lee County	Alabama	174601	177218	360	2617	32.4	52930	5.6	173700	856	70256
Madison County	Alabama	389696	395211	1543	5515	38.5	66887	6.2	190200	887	164100
Mobile County	Alabama	414250	413073	-559	-1177	38.1	49625	5.7	138400	869	184321
Montgomery County	Alabama	228448	227434	-506	-1014	36.7	51963	5.7	130000	908	105063
Morgan County	Alabama	123336	123668	-85	332	40.5	52923	6.0	143900	684	52248
Shelby County	Alabama	223708	226902	684	3194	39.5	78889	6.5	220700	1078	88090
Tuscaloosa County	Alabama	227153	227007	117	-146	33.2	54283	5.3	179000	861	91719
Carroll County	Georgia	119463	121968	315	2505	35.0	59197	5.8	147400	901	45699
Chatham County	Georgia	294904	296329	-387	1425	35.9	57739	5.7	209200	1115	126234
Cherokee County	Georgia	268043	274615	1423	6572	39.0	84817	6.8	271300	1304	94658
Clarke County	Georgia	128489	128711	-182	222	28.3	40363	5.2	186800	872	53452
Clayton County	Georgia	297417	297100	-178	-317	32.5	49460	5.6	122100	1024	105992
Cobb County	Georgia	766209	766802	60	593	36.8	80830	6.3	273900	1264	302537
Matanuska-Susitna Borough	Alaska	107460	110686	379	3226	35.5	76118	4.8	257900	1115	42018
Columbia County	Georgia	156773	159639	763	2866	37.1	82251	6.8	215200	1172	58653
Coweta County	Georgia	146653	149956	495	3303	39.0	79795	6.5	225000	1124	55601
Cochise County	Arizona	125398	126050	-49	652	41.0	51505	5.5	150100	803	61380
Coconino County	Arizona	145116	145052	15	-64	31.0	59000	5.0	299100	1185	66807
Maricopa County	Arizona	4438342	4496588	17774	58246	36.6	67799	5.4	278700	1182	1765880
Mohave County	Arizona	214070	217692	803	3622	52.3	47686	5.0	172100	839	115466
Navajo County	Arizona	106802	108147	85	1345	38.2	43140	4.9	135800	712	58230
Pima County	Arizona	1045599	1052030	2166	6431	38.7	55023	5.2	199400	931	463236
