name	state	popestimate2020	popestimate2021	npopchg2021	age_median	income_median	rooms_median	value_median	rent_median	housing_total
Birmingham city	Alabama	200133	197575	-2558	36.2	38832	5.2	97500	870	114135
Huntsville city	Alabama	215043	216963	1920	36.8	56758	5.8	184500	868	94882
Mobile city	Alabama	186411	184952	-1459	37.3	43456	5.5	134100	873	92398
Montgomery city	Alabama	200006	198665	-1341	36.0	49608	5.6	121100	905	93258
Tuscaloosa city	Alabama	99960	100618	658	29.5	44507	5.0	190100	858	48572
Anchorage municipality	Alaska	290637	288121	-2516	33.9	84813	5.2	320100	1310	118293
Chandler city	Arizona	277556	279458	1902	36.7	85796	5.6	324500	1381	100267
Gilbert town	Arizona	269206	273136	3930	34.5	99154	6.3	348000	1580	84437
Glendale city	Arizona	248797	249630	833	33.8	56991	5.5	231200	1051	89156
Mesa city	Arizona	505860	509475	3615	36.2	61640	5.0	245500	1105	214831
Peoria city	Arizona	191985	194917	2932	40.3	76423	5.8	282200	1340	68149
Phoenix city	Arizona	1611345	1624569	13224	33.9	60914	5.2	250800	1100	626977
Scottsdale city	Arizona	241933	242753	820	47.7	91042	5.5	493200	1452	139189
Surprise city	Arizona	144412	149191	4779	41.9	71192	5.8	258700	1443	56632
Tempe city	Arizona	180823	184118	3295	29.8	61290	4.7	287600	1230	83039
Tucson city	Arizona	541859	543242	1383	34.0	45227	4.8	165900	861	240782
Little Rock city	Arkansas	202484	201998	-486	36.5	53620	5.3	172500	889	96399
Anaheim city	California	347089	345940	-1149	34.8	76723	4.6	602400	1743	108561
Antioch city	California	115252	114794	-458	36.4	80234	6.1	428800	1911	34996
Bakersfield city	California	403401	407615	4214	31.0	65687	5.2	258700	1124	125143
Berkeley city	California	119463	117145	-2318	32.1	91259	4.4	1059500	1767	50046
Burbank city	California	107320	105401	-1919	39.6	79212	4.3	790300	1763	43986
Carlsbad city	California	115073	115302	229	41.8	112933	5.7	857300	2054	46918
Chula Vista city	California	276466	277220	754	36.0	86132	5.1	526500	1729	85860
Clovis city	California	120674	122989	2315	34.8	84119	5.8	341800	1247	39375
Concord city	California	125176	124074	-1102	38.1	92706	5.2	581900	1800	47771
Corona city	California	157570	159743	2173	34.8	88434	5.9	491000	1705	49804
Costa Mesa city	California	111723	110750	-973	35.6	90370	4.4	807000	1927	42391
Daly City city	California	104571	101243	-3328	40.4	99910	4.8	851800	2240	33540
Downey city	California	114118	111645	-2473	35.5	75974	4.8	582500	1569	34653
El Cajon city	California	106176	105432	-744	35.0	56367	4.5	470800	1398	34716
Elk Grove city	California	177632	178997	1365	37.7	101776	6.5	437100	1734	54920
El Monte city	California	109166	106907	-2259	35.6	53874	4.5	480100	1351	30214
Escondido city	California	151260	150665	-595	35.1	65326	5.0	473700	1550	50509
Fairfield city	California	119827	119705	-122	35.0	86204	5.7	433300	1734	38539
Fontana city	California	208810	210761	1951	31.2	75681	5.6	393200	1368	57105
Fremont city	California	231673	227514	-4159	38.2	142374	4.9	999500	2453	78038
Fresno city	California	542159	544510	2351	31.4	53368	5.0	256000	1041	180020
Fullerton city	California	143173	141874	-1299	35.2	85471	5.0	667300	1718	47722
Garden Grove city	California	171829	170488	-1341	39.0	73611	5.0	580300	1631	49144
Glendale city	California	196208	192366	-3842	41.6	70596	4.4	821500	1711	79743
Hayward city	California	163269	159827	-3442	36.0	91490	4.6	622700	1914	49895
Huntington Beach city	California	198707	196652	-2055	43.2	97469	5.2	803400	1965	81846
Inglewood city	California	107534	105181	-2353	37.1	58536	4.3	555000	1414	38318
Irvine city	California	306389	309031	2642	33.8	108318	4.6	861700	2425	104553
Jurupa Valley city	California	105306	106941	1635	32.9	77787	5.6	393200	1398	26042
Lancaster city	California	172862	170150	-2712	33.3	58413	6.0	280300	1274	51796
Long Beach city	California	464759	456062	-8697	35.3	66410	4.3	584200	1391	175725
Los Angeles city	California	3889834	3849297	-40537	35.9	65290	4.1	670700	1523	1513791
Modesto city	California	218459	218771	312	34.7	62182	5.3	300700	1254	73906
Moreno Valley city	California	209213	211600	2387	31.3	70385	5.6	335700	1587	54089
Murrieta city	California	111351	112991	1640	34.7	91654	6.7	435700	1859	35207
Norwalk city	California	102532	100373	-2159	35.3	77425	5.0	461000	1678	27701
Oakland city	California	439341	433823	-5518	36.6	80143	4.4	730000	1539	171749
Oceanside city	California	174128	172982	-1146	37.1	75411	5.2	538200	1803	65829
Ontario city	California	175945	177963	2018	32.3	67357	5.1	408000	1557	52575
Orange city	California	138680	137264	-1416	36.2	96605	5.6	680300	1857	45157
Oxnard city	California	202242	201879	-363	32.8	77050	5.2	471400	1659	54992
Palmdale city	California	169279	165761	-3518	32.3	65444	5.9	302800	1333	45334
Pasadena city	California	138196	135732	-2464	38.8	85129	4.4	822100	1787	62659
Pomona city	California	151128	148338	-2790	33.3	62407	5.1	420600	1406	42008
Rancho Cucamonga city	California	174572	175142	570	36.8	92290	5.8	515600	1855	59916
Rialto city	California	104199	104394	195	30.7	65538	5.4	330000	1302	27422
Richmond city	California	116238	115639	-599	37.2	72463	4.9	505800	1574	39765
Riverside city	California	314655	317261	2606	31.8	72738	5.3	389500	1466	95553
Roseville city	California	148435	151901	3466	39.4	95519	6.0	473300	1678	54116
Sacramento city	California	523416	525041	1625	34.9	65847	5.0	361300	1328	197948
Salinas city	California	163397	162791	-606	31.0	67914	4.9	451000	1492	42675
San Bernardino city	California	221784	222203	419	30.9	49287	4.8	272600	1109	64173
San Buenaventura (Ventura) city	California	110413	109925	-488	40.4	79986	5.1	593700	1675	43402
San Diego city	California	1385394	1381611	-3783	35.2	83454	4.5	629500	1770	548931
San Francisco city	California	870014	815201	-54813	38.3	119136	4.0	1152300	2010	398613
San Jose city	California	1010908	983489	-27419	37.1	117324	5.1	925800	2232	338109
San Mateo city	California	105308	102200	-3108	37.8	126102	4.6	1186400	2658	41784
Santa Ana city	California	309888	309441	-447	32.6	72406	4.5	525900	1626	81362
Santa Clara city	California	127426	127151	-275	34.0	136870	4.3	1120400	2523	47174
Santa Clarita city	California	228487	224593	-3894	36.6	100932	5.7	564500	2003	70976
Santa Maria city	California	109904	109711	-193	29.0	67634	4.9	359700	1475	29231
Santa Rosa city	California	177882	176938	-944	39.6	80472	5.0	571600	1728	69515
Simi Valley city	California	126366	125975	-391	41.0	99245	6.1	612700	2137	44357
Stockton city	California	320745	322120	1375	33.0	58393	5.2	298200	1183	101954
Sunnyvale city	California	155860	152258	-3602	35.1	150464	4.5	1397200	2699	58618
Temecula city	California	110086	110846	760	35.3	98631	6.5	464900	1935	35980
Thousand Oaks city	California	126652	125754	-898	44.4	108377	6.3	751900	2207	48224
Torrance city	California	146769	143600	-3169	41.8	94781	4.9	796800	1803	58394
Vallejo city	California	125839	124886	-953	39.1	73869	5.4	404600	1624	44280
Victorville city	California	134742	135950	1208	31.9	55155	5.7	235700	1298	35960
Visalia city	California	141828	142978	1150	32.5	66668	5.5	254600	1085	46139
Vista city	California	98508	98655	147	33.9	73163	4.8	503500	1731	32219
West Covina city	California	109345	107017	-2328	38.5	85626	5.5	578800	1745	32102
Arvada city	Colorado	124478	123436	-1042	40.0	92669	6.7	424100	1444	48408
Aurora city	Colorado	386580	389347	2767	34.8	67723	5.5	322200	1401	139091
Boulder city	Colorado	105262	104175	-1087	28.8	72279	4.8	736000	1588	46333
Centennial city	Colorado	108095	106966	-1129	41.3	109767	7.6	458300	1728	41744
Colorado Springs city	Colorado	480213	483956	3743	34.7	67719	5.9	294500	1196	194008
Denver city	Colorado	717630	711463	-6167	34.6	72661	4.7	427600	1397	306269
Fort Collins city	Colorado	169032	168538	-494	29.9	70528	5.8	398800	1373	64262
Greeley city	Colorado	109388	109323	-65	31.6	57537	5.7	274800	1063	36449
Lakewood city	Colorado	156143	156605	462	38.5	71233	5.5	398200	1430	67597
Pueblo city	Colorado	112119	112368	249	38.2	42902	5.3	149600	826	48823
Thornton city	Colorado	142166	142610	444	33.5	80732	6.0	349000	1485	48549
Westminster city	Colorado	116304	114561	-1743	37.2	76378	5.9	363500	1472	46402
Bridgeport city	Connecticut	148271	148333	62	34.6	47484	4.8	186000	1171	58114
Hartford city	Connecticut	120957	120576	-381	32.9	36154	4.4	170200	1004	55205
New Haven city	Connecticut	133966	135081	1115	30.7	44507	4.5	205100	1219	55956
Stamford city	Connecticut	135685	136309	624	37.9	96885	4.8	541600	1877	55039
Waterbury city	Connecticut	114159	113811	-348	36.4	46329	4.9	132700	986	48390
Washington city	District of Columbia	690093	670050	-20043	34.1	90842	4.1	618100	1607	319192
Cape Coral city	Florida	196290	204510	8220	47.8	61780	5.5	237400	1367	86898
Clearwater city	Florida	117046	116674	-372	45.2	50335	4.6	225600	1167	58981
Coral Springs city	Florida	134027	132822	-1205	37.0	77488	5.5	370600	1567	45344
Davie town	Florida	105553	104882	-671	36.2	74523	5.1	322300	1558	38951
Fort Lauderdale city	Florida	182789	181668	-1121	42.0	64313	4.4	350900	1353	95057
Gainesville city	Florida	139929	140398	469	26.4	38028	4.7	179500	965	60885
Hialeah city	Florida	222153	220490	-1663	45.3	38471	4.3	256900	1210	78718
Hollywood city	Florida	152705	152131	-574	40.6	54317	4.2	281300	1262	69538
Jacksonville city	Florida	950463	954614	4151	35.9	55531	5.5	187700	1089	389130
Lakeland city	Florida	112558	115425	2867	40.8	50136	5.1	160400	1056	50078
Miami city	Florida	441889	439890	-1999	40.1	44268	3.8	344300	1242	209161
Miami Gardens city	Florida	111085	110867	-218	36.8	46760	5.5	216500	1320	33242
Miramar city	Florida	134373	135077	704	38.1	70477	5.6	314200	1485	44929
Orlando city	Florida	307603	309154	1551	33.9	55183	4.6	262500	1253	136180
Palm Bay city	Florida	120181	122942	2761	40.6	52435	5.6	172200	1101	43771
Pembroke Pines city	Florida	170981	169391	-1590	42.2	68683	5.1	302900	1564	65001
Pompano Beach city	Florida	111966	111348	-618	42.1	52565	4.2	227600	1314	55421
Port St. Lucie city	Florida	206752	217523	10771	42.7	62380	6.1	224400	1485	75749
St. Petersburg city	Florida	258658	258201	-457	43.1	60798	4.8	222900	1168	138225
Tallahassee city	Florida	196342	197102	760	27.2	46461	4.8	212800	1022	89418
Tampa city	Florida	383980	387050	3070	35.9	55634	4.9	254600	1178	174041
West Palm Beach city	Florida	117179	117286	107	39.1	54603	4.4	263400	1381	54463
Athens-Clarke County unified government (balance)	Georgia	127141	127358	217	28.1	39713	5.1	186200	871	52715
Atlanta city	Georgia	499586	496461	-3125	33.2	64179	4.7	314400	1227	250533
Augusta-Richmond County consolidated government (balance)	Georgia	201850	201196	-654	34.2	43759	5.5	115300	908	87289
Columbus city	Georgia	206960	205617	-1343	34.4	47418	5.6	142900	925	85012
Macon-Bibb County	Georgia	157104	156762	-342	36.3	41317	5.5	125300	834	70138
Sandy Springs city	Georgia	108172	107180	-992	36.7	80998	5.2	474000	1383	53360
Savannah city	Georgia	147701	147088	-613	32.9	46149	5.4	162300	1049	61991
Urban Honolulu CDP	Hawaii	349800	345510	-4290	41.7	72454	3.7	707400	1520	152576
Boise City city	Idaho	235829	237446	1617	37.5	63778	5.5	282900	1009	99452
Meridian city	Idaho	119729	125963	6234	35.9	76403	6.5	304500	1200	39143
Aurora city	Illinois	180355	179266	-1089	34.4	74659	5.7	194100	1274	68523
Chicago city	Illinois	2741730	2696555	-45175	34.8	62097	4.8	267600	1154	1217686
Elgin city	Illinois	114621	113911	-710	34.9	72999	5.7	196100	1087	38623
Joliet city	Illinois	150199	150372	173	33.8	72871	5.8	193100	1077	51837
Naperville city	Illinois	149279	149104	-175	39.1	127648	7.3	424800	1546	55224
Peoria city	Illinois	112792	111666	-1126	35.4	51736	5.4	127900	817	53681
Rockford city	Illinois	148719	147711	-1008	37.8	44771	5.3	95200	784	68369
Springfield city	Illinois	114245	113394	-851	39.9	54164	5.4	131300	820	56578
